Año;Mes;Dia;Hora;Minutos;Segundos;Temperatura;Precipitacion;Humedad;Rendimiento
2007;5;6;0;0;0;28,60;18;84;6,30
2007;5;7;0;0;0;29,00;7;96;6,30
2007;5;8;0;0;0;26,40;2;96;6,30
2007;5;9;0;0;0;28,40;1.7;0;6,30
2007;5;10;0;0;0;28,00;0.3;88;6,30
2007;5;11;0;0;0;29,80;0;0;6,30
2007;5;12;0;0;0;29,60;0;78;6,30
2007;5;13;0;0;0;30,00;0;0;6,30
2007;5;14;0;0;0;29,40;0;90;6,30
2007;5;15;0;0;0;29,60;0;90;6,30
2007;5;16;0;0;0;29,80;0.5;88;6,30
2007;5;17;0;0;0;27,80;75;90;6,30
2007;5;18;0;0;0;25,00;0;96;6,30
2007;5;19;0;0;0;27,60;0;93;6,30
2007;5;20;0;0;0;27,40;14;96;6,30
2007;5;21;0;0;0;26,80;11;0;6,30
2007;5;22;0;0;0;25,20;0;93;6,30
2007;5;23;0;0;0;29,00;0;89;6,30
2007;5;24;0;0;0;28,80;9;0;6,30
2007;5;25;0;0;0;26,60;12.2;88;6,30
2007;5;26;0;0;0;26,00;8.3;96;6,30
2007;5;27;0;0;0;28,80;6;88;6,30
2007;5;28;0;0;0;26,80;14.5;95;6,30
2007;5;29;0;0;0;25,80;2.5;93;6,30
2007;5;30;0;0;0;29,00;25;85;6,30
2007;5;31;0;0;0;26,00;1.5;83;6,30
2007;6;1;0;0;0;27,00;49;88;6,30
2007;6;2;0;0;0;25,60;2.9;95;6,30
2007;6;3;0;0;0;27,20;0;88;6,30
2007;6;4;0;0;0;29,00;0.4;91;6,30
2007;6;5;0;0;0;27,80;13;93;6,30
2007;6;6;0;0;0;29,20;3.5;88;6,30
2007;6;7;0;0;0;28,40;6;93;6,30
2007;6;8;0;0;0;27,40;0.5;95;6,30
2007;6;9;0;0;0;28,60;0.6;0;6,30
2007;6;10;0;0;0;29,00;0;84;6,30
2007;6;11;0;0;0;28,80;0;81;6,30
2007;6;12;0;0;0;30,40;26;75;6,30
2007;6;13;0;0;0;29,80;0;72;6,30
2007;6;14;0;0;0;28,60;0;80;6,30
2007;6;15;0;0;0;28,40;0;65;6,30
2007;6;16;0;0;0;29,40;0;89;6,30
2007;6;17;0;0;0;30,00;0;79;6,30
2007;6;18;0;0;0;30,20;0;0;6,30
2007;6;19;0;0;0;31,20;0;72;6,30
2007;6;20;0;0;0;31,00;0;57;6,30
2007;6;21;0;0;0;30,80;1.5;77;6,30
2007;6;22;0;0;0;26,60;0.3;86;6,30
2007;6;23;0;0;0;28,60;0;91;6,30
2007;6;24;0;0;0;30,40;0;91;6,30
2007;6;25;0;0;0;29,80;0;76;6,30
2007;6;26;0;0;0;28,80;0.8;0;6,30
2007;6;27;0;0;0;29,40;0;71;6,30
2007;6;28;0;0;0;30,40;0;72;6,30
2007;6;29;0;0;0;28,40;0;60;6,30
2007;6;30;0;0;0;30,60;0;0;6,30
2007;7;1;0;0;0;29,60;0;0;6,30
2007;7;2;0;0;0;30,60;0;0;6,30
2007;7;3;0;0;0;31,00;0;0;6,30
2007;7;4;0;0;0;32,40;0;0;6,30
2007;7;5;0;0;0;32,60;0;0;6,30
2007;7;6;0;0;0;33,40;0;0;6,30
2007;7;7;0;0;0;31,20;2.6;69;6,30
2007;7;8;0;0;0;30,40;28.5;91;6,30
2007;7;9;0;0;0;27,60;0;89;6,30
2007;7;10;0;0;0;30,60;0;95;6,30
2007;7;11;0;0;0;31,60;0;91;6,30
2007;7;12;0;0;0;30,40;0;82;6,30
2007;7;13;0;0;0;32,00;0;80;6,30
2007;7;14;0;0;0;30,20;0;86;6,30
2007;7;15;0;0;0;29,60;0;89;6,30
2007;7;16;0;0;0;27,40;10.8;90;6,30
2007;7;17;0;0;0;29,40;8.2;93;6,30
2007;7;18;0;0;0;29,00;5.5;96;6,30
2007;7;19;0;0;0;30,00;61.5;81;6,30
